,Description,Rent
106,VENMO PAYMENT 241014 1037580892542 OOOOO,1
107,ZELLE FROM OOOOO ON 10/15 REF # COFM3AWEN75B,0
108,CAMBRIDGE TAX 241009 5932125 OOOOO,0
109,INVOICE CLOUD EPAYMENT 241009 5931820 OOOOO,0
110,FANNIE MAE DIRECT DEP 241004 932134104512P22 OOOOO,0
111,WF Credit Card AUTO PAY 241002 OOOOO OOOOO,0
112,WF Credit Card AUTO PAY 241001 OOOOO OOOOO,0
113,ZELLE FROM OOOOO ON 09/30 REF # COFPDAR195XB,0
114,TRAVELERS PER INSUR 240924 0964539 UNKNOWN *UNKNOWN,0
115,ZELLE FROM OOOOO ON 09/25 REF # COF2NJWIDU0B,0
116,WELLS FARGO REWARDS,0
117,FANNIE MAE DIRECT DEP 240920 678079323062P22 OOOOO,0
118,ONLINE TRANSFER REF #IB0PL55V4P TO WELLS FARGO AUTOGRAPH VISA CARD OOOOO ON 09/16/24,0
119,ZELLE FROM OOOOO ON 09/16 REF # COFALA7W9JGN,0
120,TRAVELERS PER INSUR 240909 5951844 UNKNOWN *UNKNOWN,0
121,VENMO PAYMENT 240908 1036794655691 OOOOO,1
122,FANNIE MAE DIRECT DEP 240906 634092560472P22 OOOOO,0
123,ONLINE TRANSFER REF #IB0PGM3H3N TO WELLS FARGO ACTIVE CASH VISA CARD OOOOO ON 09/05/24,0
124,WF Credit Card AUTO PAY 240902 OOOOO OOOOO,0
125,WF Credit Card AUTO PAY 240902 OOOOO OOOOO,0
126,ZELLE FROM OOOOO ON 09/03 REF # COFC68377FCT,0
127,VENMO PAYMENT 240830 1036619478116 OOOOO,0
128,ZELLE FROM OOOOO ON 08/29 REF # JPM99AMRB1DA COSTCO RUN,0
129,ZELLE FROM OOOOO ON 08/29 REF # JPM99AMRAMT5 TEST,0
130,ZELLE FROM OOOOO ON 08/28 REF # COFA3QIPAR4N,0
131,TRAVELERS PER INSUR 240826 1177143 UNKNOWN *UNKNOWN,0
132,FANNIE MAE DIRECT DEP 240823 535094861491P22 OOOOO,0
133,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,0
134,FANNIE MAE DIRECT PAY 240819 24081910007731 OOOOO,0
135,VENMO PAYMENT 240817 1036337571510 OOOOO,0
136,VENMO PAYMENT 240818 1036367213398 OOOOO,0
137,ZELLE FROM OOOOO ON 08/19 REF # COFQSQEFN4V2,0
138,TRAVELERS PER INSUR 240815 BPITPI172805684 OOOOO,0
139,ZELLE FROM OOOOO ON 08/11 REF # COFNXY367HDZ,0
140,FANNIE MAE DIRECT DEP 240809 629069781635P22 OOOOO,0
141,WF Credit Card AUTO PAY 240802 OOOOO OOOOO,0
142,WF Credit Card AUTO PAY 240801 OOOOO OOOOO,0
143,ZELLE TO OOOOO ON 07/28 REF #PP0XXPHGQ5,0
144,ZELLE TO OOOOO ON 07/27 REF #RP0XXMW95D GUITAR JULY,0
145,FANNIE MAE DIRECT DEP 240726 595067835251P22 OOOOO,0
146,BOARD OF REGENTS Georgia Te 071724 OOOOO,0
147,ZELLE FROM OOOOO ON 07/14 REF # PP0SF7ZS5M AUTO INSURANCE CREDIT,0
148,ZEL ZELLE TO LIU BAOZHU,1
149,ECK VENMO 3264681992  BR PAYMENT,0
150,INT INTEREST CREDIT,0
151,ECK VENMO 3264681992  BR PAYMENT,0
152,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
153,ZEL ZELLE FROM MARTINEZ JARON,0
154,ECK VENMO 3264681992  BR PAYMENT,0
155,ECK VENMO 3264681992  BR PAYMENT,0
156,ECK VENMO 3264681992  BR PAYMENT,0
157,ECK VENMO 3264681992  BR PAYMENT,0
158,ECK VENMO 3264681992  BR PAYMENT,0
159,ECK VENMO 3264681992  BR PAYMENT,0
160,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
161,ECK AMEX EPAYMENT 0005000040  BR ACH PMT,0
162,DIR PAYPAL PAYPALSD11  BR TRANSFER,0
163,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
164,DIR BENEFIT PAYMENT N943351864  BR EDI PYMNTS,0
165,ECK DISCOVER 3510020270  BR E PAYMENT,0
166,ZEL ZELLE TO LIU BAOZHU,1
167,ECK VENMO 3264681992  BR PAYMENT,0
168,ECK VENMO 3264681992  BR PAYMENT,0
169,INT INTEREST CREDIT,0
170,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
171,ECK VENMO 3264681992  BR PAYMENT,0
172,ECK VENMO 3264681992  BR PAYMENT,0
173,ECK VENMO 3264681992  BR PAYMENT,0
174,ECK VENMO 3264681992  BR PAYMENT,0
175,ECK VENMO 3264681992  BR PAYMENT,0
176,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
177,ZEL ZELLE FROM FEIERTAG ADRIAN,0
178,ECK VENMO 3264681992  BR PAYMENT,0
179,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
180,ECK AMEX EPAYMENT 0005000040  BR ACH PMT,0
181,ECK DISCOVER 3510020270  BR E PAYMENT,0
182,ECK VENMO 3264681992  BR PAYMENT,0
183,ZEL ZELLE FROM LI JERRY,0
184,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
185,ZEL ZELLE TO LIU BAOZHU,1
186,INT INTEREST CREDIT,0
187,ECK VENMO 3264681992  BR PAYMENT,0
188,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
189,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
190,ECK VENMO 3264681992  BR PAYMENT,0
191,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
192,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
193,ECK VENMO 3264681992  BR PAYMENT,0
194,ECK VENMO 3264681992  BR PAYMENT,0
195,ECK VENMO 3264681992  BR PAYMENT,0
196,ECK VENMO 3264681992  BR PAYMENT,0
197,ECK VENMO 3264681992  BR PAYMENT,0
198,ECK VENMO 3264681992  BR PAYMENT,0
199,ZEL ZELLE FROM LI PING,0
200,ZEL ZELLE FROM MARTINEZ JARON,0
201,ECK DISCOVER 3510020270  BR E PAYMENT,0
202,ECK VENMO 3264681992  BR PAYMENT,0
203,ZEL ZELLE TO LIU BAOZHU,1
204,ZEL ZELLE FROM LI PING,0
205,ZEL ZELLE FROM LI PING,0
206,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
207,DIR VENMO 5264681992  BR CASHOUT,0
208,INT INTEREST CREDIT,0
209,ECK VENMO 3264681992  BR PAYMENT,0
210,ECK VENMO 3264681992  BR PAYMENT,0
211,ZEL ZELLE TO BUTTIMER JOHN,0
212,ZEL ZELLE FROM Insu UPS,0
213,ECK VENMO 3264681992  BR PAYMENT,0
214,ECK VENMO 3264681992  BR PAYMENT,0
215,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
216,DIR VENMO 5264681992  BR CASHOUT,0
217,ECK VENMO 3264681992  BR PAYMENT,0
218,ECK VENMO 3264681992  BR PAYMENT,0
219,ECK VENMO 3264681992  BR PAYMENT,0
220,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
221,ZEL ZELLE FROM WANG JOYCE,0
222,ECK VENMO 3264681992  BR PAYMENT,0
223,ZEL ZELLE TO KAPLAN JACOB,0
224,ZEL ZELLE FROM Insu UPS,0
225,ZEL ZELLE TO GEORGE,0
226,ECK DISCOVER 3510020270  BR E PAYMENT,0
227,ECK VENMO 3264681992  BR PAYMENT,0
228,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
229,ECK VENMO 3264681992  BR PAYMENT,0
230,ECK VENMO 3264681992  BR PAYMENT,0
231,ECK VENMO 3264681992  BR PAYMENT,0
232,ECK VENMO 3264681992  BR PAYMENT,0
233,DIR VENMO 5264681992  BR CASHOUT,0
234,ZEL ZELLE TO LIU BAOZHU,1
235,INT INTEREST CREDIT,0
236,ECK VENMO 3264681992  BR PAYMENT,0
237,ECK VENMO 3264681992  BR PAYMENT,0
238,ECK VENMO 3264681992  BR PAYMENT,0
239,ECK VENMO 3264681992  BR PAYMENT,0
240,ECK VENMO 3264681992  BR PAYMENT,0
241,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
242,ECK VENMO 3264681992  BR PAYMENT,0
243,ECK VENMO 3264681992  BR PAYMENT,0
244,ZEL ZELLE FROM MARTINEZ JARON,0
245,ECK VENMO 3264681992  BR PAYMENT,0
246,ECK VENMO 3264681992  BR PAYMENT,0
247,ECK VENMO 3264681992  BR PAYMENT,0
248,ECK VENMO 3264681992  BR PAYMENT,0
249,ECK VENMO 3264681992  BR PAYMENT,0
250,ECK VENMO 3264681992  BR PAYMENT,0
251,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
252,ZEL ZELLE TO LAUDER JESSE,0
253,ECK VENMO 3264681992  BR PAYMENT,0
254,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
255,ECK VENMO 3264681992  BR PAYMENT,0
256,ECK VENMO 3264681992  BR PAYMENT,0
257,ECK VENMO 3264681992  BR PAYMENT,0
258,ECK VENMO 3264681992  BR PAYMENT,0
259,ECK VENMO 3264681992  BR PAYMENT,0
260,ECK VENMO 3264681992  BR PAYMENT,0
261,ECK VENMO 3264681992  BR PAYMENT,0
262,ECK VENMO 3264681992  BR PAYMENT,0
263,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
264,ECK VENMO 3264681992  BR PAYMENT,0
265,ZEL ZELLE FROM MARTINEZ JARON,0
266,ECK VENMO 3264681992  BR PAYMENT,0
267,DIR VENMO 5264681992  BR CASHOUT,0
268,ZEL ZELLE FROM LI PING,0
269,ECK DISCOVER 3510020270  BR E PAYMENT,0
270,ECK VENMO 3264681992  BR PAYMENT,0
271,ECK VENMO 3264681992  BR PAYMENT,0
272,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,0
273,ECK VENMO 3264681992  BR PAYMENT,0
274,ECK VENMO 3264681992  BR PAYMENT,0
275,ZEL ZELLE FROM MARTINEZ JARON,0
276,ECK VENMO 3264681992  BR PAYMENT,0
277,ECK VENMO 3264681992  BR PAYMENT,0
278,ECK VENMO 3264681992  BR PAYMENT,0
279,ECK VENMO 3264681992  BR PAYMENT,0
280,DIR PAYPAL PAYPALSD11  BR TRANSFER,0
281,ZEL ZELLE TO LIU BAOZHU,1
282,ECK VENMO 3264681992  BR PAYMENT,0
283,ZEL ZELLE FROM WANG JOYCE,0
284,INT INTEREST CREDIT,0
285,ECK VENMO 3264681992  BR PAYMENT,0
286,ECK VENMO 3264681992  BR PAYMENT,0
287,ECK VENMO 3264681992  BR PAYMENT,0
288,DEP Forbright Bank 055003612  BR ACH Trans devr,0
289,ECK VENMO 3264681992  BR PAYMENT,0
290,ECK VENMO 3264681992  BR PAYMENT,0
291,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
292,ECK VENMO 3264681992  BR PAYMENT,0
293,ECK VENMO 3264681992  BR PAYMENT,0
294,ECK VENMO 3264681992  BR PAYMENT,0
295,ECK VENMO 3264681992  BR PAYMENT,0
296,DIR VENMO 5264681992  BR CASHOUT,0
297,DEP Forbright Bank 055003612  BR ACH Trans Covering my ass,0
298,ATS AUTOMATIC TRANSFER DEPOSIT,0
299,ECK VENMO 3264681992  BR PAYMENT,0
300,ECK VENMO 3264681992  BR PAYMENT,0
301,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
302,ECK VENMO 3264681992  BR PAYMENT,0
303,ECK VENMO 3264681992  BR PAYMENT,0
304,ECK VENMO 3264681992  BR PAYMENT,0
305,DIR VENMO 5264681992  BR CASHOUT,0
306,ZEL ZELLE TO LIU BAOZHU,1
307,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
308,ECK VENMO 3264681992  BR PAYMENT,0
309,ECK VENMO 3264681992  BR PAYMENT,0
310,ZEL ZELLE FROM VO KHUE,0
311,ECK VENMO 3264681992  BR PAYMENT,0
312,INT INTEREST CREDIT,0
313,DIR VENMO 5264681992  BR CASHOUT,0
314,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
315,ECK VENMO 3264681992  BR PAYMENT,0
316,ECK VENMO 3264681992  BR PAYMENT,0
317,ECK VENMO 3264681992  BR PAYMENT,0
318,ECK VENMO 3264681992  BR PAYMENT,0
319,ECK VENMO 3264681992  BR PAYMENT,0
320,ECK VENMO 3264681992  BR PAYMENT,0
321,ECK VENMO 3264681992  BR PAYMENT,0
322,DIR VENMO 5264681992  BR CASHOUT,0
323,ECK VENMO 3264681992  BR PAYMENT,0
324,ECK Forbright Bank 055003612  BR ACH Trans,0
325,ZEL ZELLE FROM LI PING,0
326,ECK VENMO 3264681992  BR PAYMENT,0
327,ECK VENMO 3264681992  BR PAYMENT,0
328,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
329,ECK VENMO 3264681992  BR PAYMENT,0
330,ECK VENMO 3264681992  BR PAYMENT,0
331,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
332,ECK DISCOVER 2510020270  BR E PAYMENT,0
333,ECK VENMO 3264681992  BR PAYMENT,0
334,ECK DISCOVER 3510020270  BR E PAYMENT,0
335,ECK VENMO 3264681992  BR PAYMENT,0
336,ECK Forbright Bank 055003612  BR ACH Trans,0
337,ZEL ZELLE FROM WANG JOYCE,0
338,DIR VENMO 5264681992  BR CASHOUT,0
339,ZEL ZELLE FROM MARTINEZ JARON,0
340,ZEL ZELLE TO LIU BAOZHU,1
341,ECK VENMO 3264681992  BR PAYMENT,0
342,INT INTEREST CREDIT,0
343,ZEL ZELLE FROM MARTINEZ JARON,0
344,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
345,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
346,ECK VENMO 3264681992  BR PAYMENT,0
347,ECK PAYPAL PAYPALSI77  BR INST XFER,0
348,ECK VENMO 3264681992  BR PAYMENT,0
349,ECK VENMO 3264681992  BR PAYMENT,0
350,ECK VENMO 3264681992  BR PAYMENT,0
351,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
352,ECK VENMO 3264681992  BR PAYMENT,0
353,ECK VENMO 3264681992  BR PAYMENT,0
354,ECK VENMO 3264681992  BR PAYMENT,0
355,ECK VENMO 3264681992  BR PAYMENT,0
356,ECK VENMO 3264681992  BR PAYMENT,0
357,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
358,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
359,ECK VENMO 3264681992  BR PAYMENT,0
360,DEP TD BANK NA 1770527921  BR ZELLE JOYCE WANG,0
361,DEP TD BANK NA 1770527921  BR ZELLE JOYCE WANG,0
362,ZEL ZELLE FROM WANG JOYCE,0
363,ECK DISCOVER 3510020270  BR E PAYMENT,0
364,ZEL ZELLE TO LIU BAOZHU,1
365,ZEL ZELLE FROM MARTINEZ JARON,0
366,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
367,INT INTEREST CREDIT,0
368,ECK VENMO 3264681992  BR PAYMENT,0
369,ECK VENMO 3264681992  BR PAYMENT,0
370,ECK VENMO 3264681992  BR PAYMENT,0
371,ECK VENMO 3264681992  BR PAYMENT,0
372,ECK VENMO 3264681992  BR PAYMENT,0
373,DIR FEDERAL NATIONAL 9111111101  BR DIRECT DEP,0
374,ECK VENMO 3264681992  BR PAYMENT,0
375,DIR NOTIFICATION  PRE AUTH CREDIT  BR FEDERAL NATIONAL 091000,0
376,ECK VENMO 3264681992  BR PAYMENT,0
377,ECK VENMO 3264681992  BR PAYMENT,0
378,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
379,DIR VENMO 5264681992  BR CASHOUT,0
380,ZEL ZELLE TO MASIAS ALEJANDRO,0
381,ECK VENMO 3264681992  BR PAYMENT,0
382,ECK VENMO 3264681992  BR PAYMENT,0
383,ECK VENMO 3264681992  BR PAYMENT,0
384,ECK VENMO 3264681992  BR PAYMENT,0
385,ECK VENMO 3264681992  BR PAYMENT,0
386,ECK VENMO 3264681992  BR PAYMENT,0
387,ZEL ZELLE TO LIU BAOZHU,1
388,ZEL ZELLE FROM MARTINEZ JARON,0
389,ECK VENMO 3264681992  BR PAYMENT,0
390,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
391,INT INTEREST CREDIT,0
392,ECK VENMO 3264681992  BR PAYMENT,0
393,ECK VENMO 3264681992  BR PAYMENT,0
394,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
395,ZEL ZELLE TO RAPID,0
396,ECK VENMO 3264681992  BR PAYMENT,0
397,ECK VENMO 3264681992  BR PAYMENT,0
398,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
399,ECK VENMO 3264681992  BR PAYMENT,0
400,ZEL ZELLE FROM MARTINEZ JARON,0
401,ECK VENMO 3264681992  BR PAYMENT,0
402,ZEL ZELLE FROM MARTINEZ JARON,0
403,ZEL ZELLE FROM MARTINEZ JARON,0
404,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
405,ECK VENMO 3264681992  BR PAYMENT,0
406,ECK VENMO 3264681992  BR PAYMENT,0
407,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
408,POS MC PLCB NEW ECOM 46  BR 7177837637 PA,0
409,ECK DISCOVER 3510020270  BR E PAYMENT,0
410,ECK VENMO 3264681992  BR PAYMENT,0
411,ECK VENMO 3264681992  BR PAYMENT,0
412,ECK VENMO 3264681992  BR PAYMENT,0
413,ECK VENMO 3264681992  BR PAYMENT,0
414,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
415,ZEL ZELLE TO LIU BAOZHU,1
416,ECK VENMO 3264681992  BR PAYMENT,0
417,ECK VENMO 3264681992  BR PAYMENT,0
418,ZEL ZELLE TO GIBSON SAMUEL,0
419,INT INTEREST CREDIT,0
420,ECK VENMO 3264681992  BR PAYMENT,0
421,ECK VENMO 3264681992  BR PAYMENT,0
422,ECK VENMO 3264681992  BR PAYMENT,0
423,ECK VENMO 3264681992  BR PAYMENT,0
424,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
425,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
426,ECK VENMO 3264681992  BR PAYMENT,0
427,ECK VENMO 3264681992  BR PAYMENT,0
428,ECK VENMO 3264681992  BR PAYMENT,0
429,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
430,ZEL ZELLE FROM LI PING,0
431,ZEL ZELLE TO BLAYLOCK BARBARA,0
432,ZEL ZELLE FROM WILL CHRISTOPHER,0
433,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
434,ECK VENMO 3264681992  BR PAYMENT,0
435,ECK VENMO 3264681992  BR PAYMENT,0
436,ZEL ZELLE TO LIU BAOZHU,1
437,INT INTEREST CREDIT,0
438,ECK VENMO 3264681992  BR PAYMENT,0
439,ECK VENMO 3264681992  BR PAYMENT,0
440,ECK VENMO 3264681992  BR PAYMENT,0
441,ZEL ZELLE TO GEORGE,0
442,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
443,ZEL ZELLE FROM WANG JOYCE,0
444,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
445,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
446,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
447,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
448,POS MC USPS CHANGE OF A  BR 800 2383150 TN,0
449,ZEL ZELLE TO LIU BAOZHU,1
450,INT INTEREST CREDIT,0
451,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,0
452,DEP CHECK   NORTH HILLS OFFICE,0
453,DEP CASH   NORTH HILLS OFFICE,0
454,DIR BENEFIT PAYMENT N943351864  BR EDI PYMNTS,0
455,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
456,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
457,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
458,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
459,ZEL ZELLE TO LIU BAOZHU,1
460,INT INTEREST CREDIT,0
