Date,Transaction Type,Description,Debit,Credit,Check Number,Account Running Balance
4/29/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1000,,,13989.48
4/29/2025,DEBIT,BECU CK WEBXFR TRANSFER ,252.11,,,14989.48
4/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,15241.59
4/25/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2911.95,,15316.58
4/24/2025,DEBIT,WASHINGTON GAS PAYMENT ,110.61,,,
4/18/2025,INT,IOD INTEREST PAID ,,0.13,,
4/18/2025,CREDIT,FREE ATM REBATE ,,3.25,,
4/17/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.82,,
4/14/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,4716.8,,,
4/14/2025,DEBIT,FREEDOM MTG PYMTS ,4496.62,,,
4/11/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,96.74,,,
4/11/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2911.95,,
4/2/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2169.09,,
3/31/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1000,,,
3/31/2025,DEBIT,VERIZON PAYMENTREC ,173.99,,,
3/28/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2911.95,,
3/27/2025,DEBIT,WASHINGTON GAS PAYMENT ,63.26,,,
3/24/2025,DEBIT,DDA WITHDRAW AP TGD30059   TGD30059                    SILVER SPRING *,103.25,,,
3/20/2025,INT,IOD INTEREST PAID ,,0.12,,
3/19/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2286.43,,
3/14/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,77.08,,,
3/14/2025,DEBIT,FREEDOM MTG PYMTS ,4496.62,,,
3/14/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2911.95,,
3/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,5702.12,,,
3/5/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2286.44,,
3/4/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,
3/3/2025,DIRECTDEBIT,WENDROFF & ASSOC WENDROFF & ,400,,,
3/3/2025,DEBIT,DDA WITHDRAW AP TW04C886   3028 WILSON BLVD            ARLINGTON     * VA,200,,,
3/3/2025,DIRECTDEP,AGRI TREAS 310   FED SAL ,,2825.67,,
2/27/2025,DEBIT,WASHINGTON GAS PAYMENT ,132.19,,,
2/26/2025,XFER,Online  Xfer Transfer to CK x6366,6609.5,,,
2/21/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,
2/20/2025,INT,IOD INTEREST PAID ,,0.16,,
2/20/2025,CREDIT,FANNIE MAE DIRECT DEP ,,5329.62,,
2/20/2025,CREDIT,FREE ATM REBATE ,,17.81,,
2/18/2025,DEBIT,DDA WITHDRAW AP TW04C886   3028 WILSON BLVD            ARLINGTON     * VA,200,,,
2/14/2025,DEBIT,FREEDOM MTG PYMTS ,4496.62,,,
2/14/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2825.67,,
2/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,3677.54,,,
2/13/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,99.38,,,
2/6/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,
2/5/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2215.75,,
2/3/2025,DEBIT,INTL DDA W/D AP 454100     CRA 8 NO 39 29              13001         C OL,17.99,,,
1/31/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2825.67,,
1/28/2025,DEBIT,INTL DDA W/D AP 438411     PRO2 3196 CALLE 38 NO       CARTAG        C OL,84.1,,,
1/27/2025,DEBIT,WASHINGTON GAS PAYMENT ,79.66,,,
1/27/2025,DEBIT,INTL DDA W/D AP 438411     PRO2 1960 CALLE 70 NO       CGENA         C OL,58.78,,,
1/22/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1500,,,
1/22/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2215.75,,
1/21/2025,DEP,MOBILE DEPOSIT ,,100,,
1/17/2025,INT,IOD INTEREST PAID ,,0.17,,
1/17/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2784.68,,
1/15/2025,XFER,Online  Xfer Transfer to CK x6366,2700,,,
1/14/2025,DEBIT,FREEDOM MTG PYMTS ,4496.62,,,
1/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,4519.61,,,
1/13/2025,DEBIT,INTL DDA W/D AP 489675     CATHAY UNITED BANK          TAIPEI        T WN,63.3,,,
1/9/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,78.27,,,
1/9/2025,CREDIT,FANNIE MAE DIRECT DEP ,,2215.81,,
1/3/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2784.68,,
