Date,Description,Comments,Check Number,Amount,Balance,rent
11/19/2025,Payment on 1st of month [Date:20251119],,,"-$2,300.00","$10,080.00",0
03/20/2024,Recurring transfer to Smith [Trans:754558] [07:50],,,"-$2,200.00","$7,272.00",0
08/25/2024,Mid-month transfer [Ref:974434] [05:49],,,"-$3,050.00","$18,790.00",1
04/20/2024,Unit fee for residential unit [Date:20240420],,,"-$2,150.00","$1,989.00",1
07/09/2024,Rent payment  [ID:20240709-454],,,"-$1,775.00","$22,680.00",1
09/13/2025,Property fee [Date:20250913],,,"-$2,000.00","$15,394.00",0
08/15/2025,Rent payment  [Ref:673513],,,"-$2,350.00","$30,158.00",1
05/08/2025,Regular payment [Payment:4UU3],,,-$850.00,"$1,794.00",0
02/17/2025,NOT rent - utilities #265009,,,"-$2,750.00","$28,495.00",0
04/11/2024,HOA fee + insurance [TXN:678988] [12:50],,,"-$1,750.00","$38,995.00",0
04/18/2025,Residential payment 15th auto [TXN:658856],,,"-$2,400.00","$18,019.00",1
10/02/2024,Recurring monthly payment [Ref:667719],,,-$850.00,"$6,289.00",0
05/15/2025,Utility fee incl. services [ID:20250515-616],,,"-$1,350.00","$9,213.00",0
01/30/2024,Complex charge for residential unit #484480 [00:04],,,"-$1,675.00","$28,544.00",1
03/22/2024,Distinct from rent - service [ID:20240322-21],,,"-$1,650.00","$38,272.00",0
08/03/2024,HOA fee + tax [ID:20240803-106],,,"-$2,350.00","$16,410.00",0
10/14/2024,Unit fee [TXN:775173] [03:34],,,"-$1,850.00","$30,767.00",0
02/10/2024,Recurring debit [Ref:BDDC],,,"$1,600.00","$35,934.00",0
04/21/2025,Separate from rent - deposit [Trans:571713],,,"-$2,600.00","$24,898.00",0
10/10/2025,Building payment [Payment:931Z],,,"-$2,550.00","$6,447.00",0
05/09/2025,Property fee for residential unit #664183 [19:52],,,"-$1,575.00","$3,816.00",1
01/27/2024,Rent payment  [Payment:MQHZ],,,-$550.00,"$31,710.00",1
12/29/2025,Monthly obligation [Invoice:960036] [15:51],,,-$900.00,"$10,244.00",0
02/01/2025,Residential payment Quarterly [Ref:920793],,,"-$1,300.00","$4,468.00",1
12/12/2025,First of month payment [TXN:814518],,,"-$1,250.00","$21,877.00",1
06/12/2025,Zelle to Davis [ID:20250612-744],,,"-$2,800.00","$28,234.00",0
04/27/2024,Monthly payment to John #387406,,,"-$1,350.00","$29,386.00",0
03/13/2025,Building disbursement [Payment:GQ7T],,,-$700.00,"$13,172.00",0
05/08/2025,Digs payment #756920,,,"-$2,250.00","$26,429.00",0
04/12/2024,Monthly auto-payment [ID:20240412-99],,,"-$2,600.00","$43,342.00",1
05/24/2024,Standard monthly charge [Ref:ZN8V],,,"-$1,050.00","$28,431.00",1
08/23/2024,Strata payment [Ref:893522],,,"-$3,050.00","$9,238.00",1
11/24/2024,Rent payment (apartment) [Invoice:128009],,,"-$1,925.00","$13,649.00",1
10/07/2024,Digs payment #164211,,,"-$1,875.00","$35,566.00",1
10/28/2024,Dwelling disbursement plus fees [ID:20241028-920],,,-$925.00,"$10,453.00",1
05/13/2024,Besides rent - insurance [Ref:AZWV] [21:10],,,"-$1,350.00","$35,242.00",0
07/23/2025,Remittance to Moore [Trans:454019],,,"-$1,225.00","$13,271.00",1
08/16/2024,Zelle to Davis [Payment:MG1K],,,"-$2,850.00","$31,645.00",0
04/27/2024,Complex fee [Date:20240427],,,-$300.00,"$7,836.00",0
12/29/2025,Rent payment (primary residence) [ID:20251229-437],,,-$550.00,"$29,811.00",1
06/14/2025,Facility Solutions [TXN:306053],,,-$725.00,"$16,392.00",1
05/09/2024,Periodic disbursement [Date:20240509],,,-$600.00,"$24,893.00",0
04/11/2024,Zelle to Davis [Payment:UX5W],,,-$200.00,"$31,308.00",0
11/16/2024,Building fee for residential unit [ID:580966],,,"-$2,300.00","$9,825.00",1
10/24/2025,Building disbursement [Date:20251024] [16:00],,,-$700.00,"$39,708.00",0
01/30/2024,Rent payment (apartment) [ID:20240130-896],,,"-$2,475.00","$42,629.00",1
02/03/2024,Quarterly dwelling #434480,,,"-$1,000.00","$42,940.00",0
11/23/2024,Property remittance [Invoice:707769],,,-$200.00,"$24,924.00",0
12/16/2025,Housing Associates #268037 [02:03],,,"-$1,900.00","$42,263.00",1
03/10/2025,Complex fee for residential unit [ID:590080],,,"-$1,075.00","$39,687.00",1
08/15/2025,Residential payment 1st of month [Payment:QEX3],,,"-$1,950.00","$45,496.00",1
11/09/2025,Complex payment for residential unit [Invoice:421232],,,"-$1,700.00","$16,578.00",1
09/22/2025,Check #1234 for monthly [TXN:476917],,,"-$3,050.00","$16,712.00",0
09/25/2024,Complex payment for residential unit [Invoice:555790],,,"-$2,700.00","$7,386.00",1
01/19/2024,Rent payment  [Payment:V195],,,"-$2,475.00","$48,158.00",1
04/24/2025,Complex fee [Invoice:745019] [02:35],,,"-$2,050.00","$34,293.00",0
04/29/2025,Rent payment (apartment) [Payment:0JJ4],,,"-$1,450.00","$20,716.00",1
07/07/2024,Lease charge [Ref:788690],,,"-$2,300.00","$33,325.00",0
03/23/2024,Lease fee for residential unit [Payment:9QYX] [11:52],,,"$1,475.00","$44,096.00",1
10/13/2025,Unit payment [TXN:864327],,,"-$2,300.00","$40,307.00",0
06/05/2024,Monthly auto-payment [TXN:461710],,,"-$2,600.00","$9,874.00",0
03/11/2025,Recurring monthly payment [Ref:658532],,,"-$2,300.00","$19,826.00",0
12/07/2024,Unit payment for residential unit [Trans:159544],,,"-$2,500.00","$45,192.00",1
06/01/2025,Where I live payment [Ref:HL5R],,,"-$3,025.00","$11,091.00",1
03/19/2025,Residential payment Monthly anniversary [Ref:MQ0M],,,"$2,625.00","$32,468.00",1
01/28/2025,Flat fee [Date:20250128],,,-$150.00,"$26,199.00",0
04/24/2024,Real Estate Solutions [Invoice:399593],,,"-$1,400.00","$16,641.00",1
01/07/2024,Domicile Solutions [Invoice:142333] [12:41],,,"-$1,775.00","$32,613.00",1
07/21/2024,Lease payment for residential unit #392981,,,"-$1,800.00","$37,952.00",1
10/22/2024,Quarterly dwelling #213188,,,"-$2,000.00","$1,380.00",1
07/12/2025,NOT rent - utilities [Date:20250712],,,"-$2,850.00","$11,174.00",0
10/13/2025,Monthly obligation [Trans:762546],,,"-$1,300.00","$26,622.00",1
06/20/2025,Distinct from rent - service [Ref:270460],,,"-$2,550.00","$21,844.00",0
11/24/2024,Periodic 30th payment [Ref:69T7],,,"-$1,100.00","$5,070.00",0
03/09/2025,Property payment #535956 [16:44],,,"-$1,900.00","$12,178.00",0
12/22/2024,Building fee for residential unit [Invoice:374371] [23:11],,,-$875.00,"$49,730.00",1
12/21/2024,Zelle to Davis [TXN:383106],,,"-$1,150.00","$31,489.00",0
07/24/2024,Remittance to Moore [Trans:236012],,,"-$1,400.00","$3,182.00",0
10/07/2024,Periodic 30th payment [TXN:357570],,,"$2,975.00","$14,635.00",1
02/08/2024,Flat fee [ID:382050],,,"-$2,900.00","$6,776.00",0
11/15/2025,ACH to Johnson LLC (Unit 48C) [Ref:W139],,,"-$1,600.00","$26,458.00",1
06/06/2024,Rental payment [ID:941761],,,$200.00,"$24,605.00",0
01/05/2024,Recurring debit (Unit 24C) #615705,,,"-$1,075.00","$34,199.00",1
01/01/2025,Lease charge [Invoice:683578],,,"-$1,250.00","$11,082.00",0
02/14/2024,Spot payment [TXN:965720],,,"-$1,775.00","$14,664.00",1
01/01/2024,Building fee [ID:20240101-500],,,"-$2,050.00","$25,266.00",0
06/12/2025,Unit fee [TXN:620971],,,"$2,300.00","$39,715.00",0
09/15/2024,Facility Solutions [Ref:40I1],,,-$725.00,"$31,758.00",1
11/04/2024,Residential payment 10th recurring [ID:240065],,,-$725.00,"$8,131.00",1
10/13/2025,Payment to Wilson [Ref:123445] [04:28],,,"-$2,450.00","$16,719.00",0
07/11/2025,Rent payment  #714519,,,"-$1,375.00","$42,988.00",1
01/24/2025,Periodic 30th payment [Invoice:644678],,,-$650.00,"$46,634.00",0
04/14/2025,Property payment #100279,,,"-$1,450.00","$13,400.00",0
05/11/2025,Residence fee including amenities [ID:20250511-826] [04:18],,,"-$2,900.00","$48,450.00",1
09/04/2025,Apart from rent - maintenance [TXN:670311] [13:10],,,"-$1,600.00","$13,811.00",0
06/18/2024,Monthly obligation [TXN:285180],,,-$825.00,"$22,327.00",1
08/17/2025,Rental payment [TXN:178024],,,$650.00,"$20,614.00",1
02/01/2025,Unit payment [Date:20250201],,,"-$1,750.00","$15,451.00",0
12/11/2025,Residential payment Every 30 days #391855,,,"-$1,175.00","$31,086.00",1
06/04/2025,Apart from rent - maintenance [Ref:M1U0],,,"-$1,250.00","$40,938.00",0
08/07/2025,Real Estate Solutions [Invoice:290740],,,"-$1,200.00","$15,745.00",0
07/24/2025,Building fee for residential unit [ID:398979],,,"-$2,200.00","$30,909.00",1
01/10/2025,Residential payment Last day [Ref:699131],,,"-$1,700.00","$25,968.00",1
05/13/2024,Additional to rent - fee [Ref:DDY6],,,"-$2,650.00","$18,313.00",0
07/01/2024,Non-rent housing expense [Ref:776177],,,-$550.00,"$28,582.00",0
11/05/2024,Complex charge [ID:20241105-309],,,-$700.00,"$19,943.00",0
05/23/2024,Residential payment Quarterly #161506,,,$800.00,"$20,554.00",1
06/01/2024,Spot payment [Ref:451429],,,-$950.00,"$5,257.00",0
09/03/2024,Non-rent housing expense [Trans:271372],,,"-$2,450.00","$24,819.00",0
03/21/2025,Property fee for residential unit [Ref:757724],,,"-$1,500.00","$28,104.00",1
02/10/2024,Rent payment (apartment) [TXN:649151] [23:32],,,-$650.00,"$20,005.00",1
11/10/2024,NOT rent - utilities [ID:789851],,,"-$2,450.00","$4,581.00",0
08/06/2025,Automated monthly payment (Unit 27B) [ID:161862] [11:23],,,-$750.00,"$5,809.00",1
08/10/2024,Regular payment [ID:908207],,,"-$1,550.00","$2,010.00",1
12/19/2024,Habitation remittance with utilities [ID:378748],,,"-$1,800.00","$8,893.00",1
07/06/2025,Monthly on 15th (Unit 46B) [ID:317900],,,"-$1,175.00","$17,780.00",1
11/29/2024,Complex Services [ID:464655] [00:28],,,"-$2,300.00","$21,814.00",0
11/25/2024,Rent payment (apartment) [Ref:883931],,,"-$2,650.00","$48,487.00",1
11/21/2025,Building disbursement [Payment:DA70],,,"-$2,550.00","$27,706.00",0
08/27/2025,Residential payment Monthly anniversary [Payment:VYE4],,,"-$2,850.00","$2,686.00",1
08/24/2025,Real Estate Solutions [Date:20250824],,,"-$2,000.00","$22,982.00",1
12/25/2025,End of month remittance (Unit 16C) [Ref:PKCC] [05:36],,,"-$2,875.00","$26,802.00",1
12/16/2025,Lodgings remittance [Trans:616642],,,"-$1,425.00","$28,922.00",1
05/20/2025,Residence disbursement [ID:763804],,,"-$1,350.00","$15,620.00",1
08/13/2025,Facility Solutions [TXN:506192],,,"-$2,600.00","$47,561.00",0
04/29/2024,Separate from rent - deposit [ID:689564],,,"-$2,150.00","$45,694.00",0
07/21/2025,Monthly auto-payment (Unit 37A) #326862,,,"-$2,725.00","$32,680.00",1
02/15/2024,Standard monthly charge [Payment:XXM7] [06:02],,,"-$2,850.00","$2,297.00",0
10/02/2025,Additional to rent - fee [Date:20251002],,,-$250.00,"$34,096.00",0
08/22/2025,Building fee for residential unit [Payment:PONZ],,,"-$3,000.00","$18,121.00",1
03/26/2025,Regular payment (Unit 20C) [Trans:376328],,,"-$2,275.00","$35,201.00",1
05/01/2024,Rent payment (primary residence) #800324,,,"-$2,000.00","$46,423.00",1
12/06/2024,Flat fee #437895,,,"-$2,625.00","$41,684.00",1
08/06/2024,Building fee for residential unit [ID:514853],,,"-$2,375.00","$24,597.00",1
09/21/2024,Rent payment (primary residence) [Ref:620585],,,"-$1,475.00","$9,954.00",1
01/03/2024,Remittance to Moore [Invoice:110096],,,"-$1,350.00","$27,543.00",1
04/26/2024,Unit letting [Payment:L6BI],,,-$350.00,"$26,968.00",0
03/17/2024,Unit remittance [Ref:980871] [12:01],,,$500.00,"$46,207.00",0
06/19/2025,Rent payment (primary residence) [Date:20250619],,,"-$1,700.00","$6,965.00",1
07/15/2024,Rent payment (primary residence) [ID:20240715-470] [20:19],,,"-$1,450.00","$40,746.00",1
09/18/2024,Building Management [Invoice:496091],,,"-$2,200.00","$16,194.00",0
08/16/2024,Independent of rent - repair [Ref:654306] [18:10],,,"-$1,850.00","$7,860.00",0
07/04/2025,Maintenance fee + tax [ID:20250704-231],,,"-$1,850.00","$44,154.00",0
06/19/2025,Unit payment including maintenance [Date:20250619] [11:54],,,-$650.00,"$28,996.00",1
01/04/2025,Complex payment #143521,,,"-$1,850.00","$42,852.00",0
07/17/2024,Complex payment [Ref:648588] [22:25],,,"-$1,800.00","$2,485.00",0
08/18/2024,Building Management [Ref:602657],,,"$2,700.00","$2,452.00",0
06/12/2025,Unit payment [Ref:I87J] [19:33],,,"-$2,200.00","$42,764.00",0
09/09/2025,Residential payment Every 30 days [Trans:632626],,,"-$1,400.00","$6,699.00",1
05/28/2024,Letting fee [Ref:985165],,,"-$1,550.00","$35,495.00",0
03/29/2025,Lease payment for residential unit [ID:20250329-59],,,"-$2,000.00","$3,265.00",1
02/05/2025,Digs payment [ID:20250205-503],,,"-$1,275.00","$12,846.00",1
09/22/2025,Debit to Anderson [TXN:784282],,,"$2,175.00","$18,329.00",1
05/22/2025,Unit fee [Date:20250522] [23:03],,,"-$1,400.00","$26,625.00",0
08/25/2025,Regular payment [Invoice:547350],,,"$2,750.00","$43,911.00",1
01/26/2025,Building Management [TXN:573645],,,"-$1,700.00","$13,665.00",0
10/22/2025,Additional to rent - fee [Date:20251022] [09:37],,,$650.00,"$25,669.00",0
09/11/2025,Property payment for residential unit [Trans:758904] [08:56],,,"-$1,625.00","$20,555.00",1
05/21/2025,Flat fee [Invoice:793704],,,"-$1,700.00","$40,998.00",0
01/29/2025,Apart from rent - maintenance [Trans:636286] [11:49],,,-$600.00,"$16,728.00",0
10/04/2024,Rent payment (apartment) [Invoice:962945],,,"-$3,050.00","$9,614.00",1
06/29/2024,Letting fee [Invoice:959969],,,$550.00,"$18,008.00",0
07/06/2025,Rent payment (primary residence) [Trans:611327],,,"$1,200.00","$12,409.00",1
05/06/2025,Rent payment (apartment) [Trans:979646],,,-$850.00,"$9,034.00",1
06/24/2025,Rent payment  [ID:20250624-968],,,-$800.00,"$42,930.00",1
03/10/2025,End of month remittance [ID:867860],,,"-$2,350.00","$43,142.00",1
11/15/2024,Complex fee for residential unit [Trans:678863] [08:33],,,"-$1,000.00","$43,746.00",1
04/16/2025,Additional to rent - fee [Payment:9VB9] [02:14],,,"-$1,550.00","$13,601.00",0
09/01/2024,Premises Services [ID:429975],,,"$2,950.00","$23,666.00",1
03/27/2024,Unit payment #784886 [12:57],,,"-$1,500.00","$31,943.00",0
11/16/2024,End of month remittance [ID:354881] [05:21],,,$575.00,"$17,044.00",1
12/15/2025,Building disbursement [Trans:717362],,,"-$2,550.00","$38,966.00",0
04/07/2024,Rent payment (primary residence) [Date:20240407],,,-$600.00,"$44,119.00",1
12/03/2024,Housing Associates [Ref:801557],,,"-$1,925.00","$20,680.00",1
05/15/2024,Rent payment (primary residence) [Payment:NZAF],,,"-$2,975.00","$42,534.00",1
03/19/2024,Unit Management #795941,,,"-$1,250.00","$40,456.00",1
05/01/2024,Residential Services [ID:716062],,,"-$2,950.00","$13,580.00",1
11/13/2025,Residential payment Quarterly [ID:20251113-876],,,"-$1,800.00","$20,534.00",1
02/09/2024,Recurring transfer to Smith (Unit 21C) [Date:20240209],,,"-$2,800.00","$35,131.00",1
03/02/2025,Real estate management fee [Ref:5E9J],,,"-$2,150.00","$7,708.00",1
08/14/2025,Recurring debit [ID:938153],,,-$950.00,"$41,734.00",1
11/20/2024,Service Semi-monthly [Ref:417329],,,-$150.00,"$38,614.00",0
03/06/2025,Letting fee [Payment:9OWK],,,-$850.00,"$44,360.00",1
11/01/2025,Residential Services (Unit 1C) [Ref:M292],,,"$1,850.00","$25,354.00",1
03/18/2025,Other than rent - tax [Date:20250318],,,"-$2,250.00","$49,633.00",0
02/14/2024,Monthly on 15th [Trans:270900],,,"-$2,775.00","$14,783.00",1
04/12/2024,Residential Services [ID:20240412-16],,,-$900.00,"$16,364.00",0
10/01/2025,Flat fee [Date:20251001],,,"$1,000.00","$22,775.00",1
09/12/2025,ACH to Johnson LLC [Invoice:442425],,,"-$2,250.00","$10,366.00",1
07/15/2024,Complex payment for residential unit [Date:20240715],,,"-$2,025.00","$6,409.00",1
12/09/2025,Quarterly dwelling [ID:824944],,,"-$1,350.00","$23,876.00",1
12/28/2025,Unit letting [ID:139011],,,-$825.00,"$1,154.00",1
11/29/2025,Zelle to Davis [Date:20251129],,,"-$1,600.00","$17,318.00",0
11/10/2025,Residential payment Monthly anniversary [Ref:6CGE] [08:06],,,"-$2,850.00","$5,013.00",1
03/17/2025,Domicile Solutions (Unit 46A) [ID:20250317-639],,,"-$2,525.00","$9,881.00",1
06/12/2025,Check #1234 for monthly [Ref:APUN],,,"-$1,100.00","$15,368.00",0
10/28/2025,Complex charge [TXN:507089] [16:01],,,"-$2,900.00","$13,593.00",0
09/27/2024,NOT rent - utilities [Payment:2A0N],,,"-$1,100.00","$48,866.00",0
06/14/2024,Unit charge [Trans:567258],,,"-$1,450.00","$22,715.00",0
02/21/2024,Flat fee [ID:877159],,,"$2,400.00","$23,926.00",1
04/03/2024,Property payment #544780 [09:09],,,"-$2,350.00","$41,809.00",0
06/21/2025,Complex fee [Ref:WXQG],,,"-$1,900.00","$2,474.00",0
09/26/2024,Monthly on 15th (Unit 16A) [Date:20240926],,,"$1,500.00","$25,887.00",1
01/17/2024,Dwelling remittance [Invoice:973293],,,"-$1,200.00","$20,815.00",1
01/15/2025,Payment to Wilson [Trans:233049],,,"-$2,125.00","$44,292.00",1
12/13/2025,Standing order payment [Payment:M4Y2],,,"-$1,450.00","$5,170.00",0
06/20/2024,Separate from rent - deposit [Ref:564406],,,"-$1,900.00","$3,625.00",0
10/12/2025,Debit to Anderson #249305,,,"-$2,700.00","$19,478.00",0
08/03/2024,Rent payment  [Trans:177993],,,"-$1,525.00","$27,626.00",1
02/27/2025,Unit fee [Invoice:708216],,,"$2,500.00","$48,027.00",0
09/02/2024,Complex payment for residential unit [TXN:640834],,,"-$2,100.00","$25,179.00",1
12/13/2024,Distinct from rent - service [Invoice:708969],,,"-$2,400.00","$49,546.00",0
06/15/2025,Rent payment (primary residence) [Ref:958933] [15:52],,,"-$2,675.00","$5,423.00",1
06/05/2025,Excluding rent - HOA [ID:20250605-736],,,"-$1,300.00","$14,427.00",0
04/29/2024,Periodic 30th payment [ID:20240429-929],,,-$300.00,"$47,979.00",0
01/18/2025,Independent of rent - repair [ID:20250118-316],,,"-$1,350.00","$42,948.00",0
05/03/2024,Place remittance [Trans:460207],,,"-$3,050.00","$24,062.00",0
05/02/2025,Crib fee [ID:453779],,,-$750.00,"$25,463.00",1
04/16/2024,Recurring 1st week (Unit 12C) [TXN:824201],,,"-$2,650.00","$30,346.00",1
05/25/2025,Property payment for residential unit [Trans:523157],,,"-$1,950.00","$43,603.00",1
06/06/2024,Residence disbursement [TXN:406782],,,-$750.00,"$28,419.00",1
10/12/2024,Property remittance for residential unit [ID:560451],,,-$800.00,"$16,196.00",1
02/03/2025,Apart from rent - maintenance [ID:101121],,,-$700.00,"$49,003.00",0
07/07/2025,Building payment [TXN:377229] [18:24],,,"-$1,250.00","$39,035.00",0
02/17/2025,Other than rent - tax [Ref:DNZ3] [12:30],,,-$250.00,"$17,053.00",0
08/13/2025,Building disbursement for residential unit [Trans:383756],,,"-$2,275.00","$6,283.00",1
08/10/2024,Quarterly dwelling #747913,,,"-$1,050.00","$17,632.00",0
10/27/2024,ACH to Johnson LLC [Invoice:772291],,,-$350.00,"$46,282.00",0
04/30/2024,ACH to Johnson LLC [Trans:655358],,,"-$1,200.00","$14,623.00",1
10/20/2024,NOT rent - utilities [Date:20241020],,,"-$1,350.00","$18,297.00",0
03/04/2025,First of month payment [Date:20250304],,,"-$1,525.00","$17,228.00",1
01/29/2025,Rent payment (apartment) [Ref:CFVP],,,"-$2,950.00","$44,869.00",1
08/24/2025,Rent payment (primary residence) [Ref:275067],,,"-$1,225.00","$3,170.00",1
06/21/2024,Real Estate Solutions [ID:947768] [18:02],,,"-$2,700.00","$22,331.00",0
11/23/2024,Besides rent - insurance [ID:734600] [19:45],,,-$650.00,"$32,799.00",0
11/28/2025,Unit charge for residential unit #899811,,,"-$1,900.00","$10,149.00",1
07/19/2025,Lease fee for residential unit [Ref:RFJ6],,,"-$1,750.00","$25,534.00",1
03/22/2025,Lease fee for residential unit [Invoice:396363],,,"-$2,500.00","$44,443.00",1
12/26/2024,Pad payment [Ref:XA8R],,,"-$1,175.00","$27,595.00",1
02/22/2024,Monthly premises fee [Ref:745831],,,"$1,075.00","$1,886.00",1
08/28/2024,Condo fee [Payment:2K3R],,,-$850.00,"$8,304.00",1
10/08/2025,Regular payment #963216,,,"-$2,400.00","$33,685.00",1
05/24/2024,Rent payment  [ID:20240524-624],,,"-$2,775.00","$34,755.00",1
08/26/2025,Rent payment  [TXN:375537],,,"-$2,550.00","$5,089.00",1
12/03/2024,Lodgings remittance [TXN:343866],,,"-$1,400.00","$33,016.00",0
11/18/2024,Residential payment 15th auto [Trans:511410],,,"-$1,050.00","$7,313.00",1
03/28/2024,Rent payment (primary residence) [ID:518361],,,"-$1,600.00","$36,824.00",1
03/12/2025,Letting fee [Trans:984824] [21:05],,,"-$2,450.00","$22,214.00",0
08/05/2024,Apartment payment + parking [ID:20240805-610],,,"-$2,650.00","$13,668.00",1
02/25/2024,Besides rent - insurance [ID:20240225-746],,,"-$1,450.00","$34,330.00",0
12/29/2024,Apart from rent - maintenance [Date:20241229],,,-$300.00,"$28,030.00",0
12/03/2025,Semi-monthly residence [Trans:736588],,,"$1,200.00","$20,448.00",1
12/26/2025,Service fee + tax [Invoice:777074] [23:55],,,"-$1,150.00","$9,597.00",0
08/26/2024,Quarterly dwelling [ID:686697] [10:13],,,"-$2,450.00","$48,758.00",1
03/30/2024,Membership 25th standing [ID:409075],,,"$1,450.00","$47,462.00",0
08/23/2024,Service fee + insurance [TXN:373121],,,-$900.00,"$24,495.00",0
05/11/2025,Strata payment [Date:20250511],,,"-$2,375.00","$10,641.00",1
06/26/2024,Dwelling disbursement plus fees [Invoice:537905],,,"-$1,725.00","$37,481.00",1
06/29/2024,Recurring debit #204661,,,"-$1,575.00","$23,197.00",1
01/30/2025,Monthly payment to John (Unit 44A) [Ref:RJAV],,,"-$2,075.00","$6,126.00",1
06/27/2024,Recurring debit [Date:20240627] [13:10],,,-$625.00,"$30,560.00",1
03/07/2024,Rent payment  [Date:20240307],,,"-$2,675.00","$37,172.00",1
01/15/2024,Tenancy payment [Date:20240115],,,"-$2,000.00","$23,578.00",0
03/20/2025,Periodic disbursement [Payment:4RKP],,,"-$1,400.00","$31,543.00",1
04/01/2024,Check #1234 for monthly #777721 [19:27],,,"-$1,850.00","$22,632.00",1
06/08/2025,Domicile Solutions [Trans:803745],,,-$700.00,"$45,769.00",0
06/08/2025,Service fee + tax [Trans:337588] [14:51],,,"-$1,150.00","$18,679.00",0
03/23/2025,Monthly on 15th [TXN:945979],,,"-$1,200.00","$25,202.00",0
08/29/2024,NOT rent - utilities #645793,,,"-$2,000.00","$10,861.00",0
08/12/2024,Transfer to Miller [ID:20240812-292] [04:35],,,-$800.00,"$21,317.00",0
05/21/2025,First of month payment #310826 [14:50],,,"$2,100.00","$2,293.00",0
08/07/2025,Condo fee [Payment:ZM36],,,"-$2,650.00","$2,845.00",0
05/14/2025,Building Management (Unit 27A) [Ref:876397],,,"-$1,700.00","$47,670.00",1
03/31/2024,Besides rent - insurance [Trans:146936] [18:03],,,"-$1,150.00","$24,324.00",0
01/14/2025,Regular payment (Unit 32B) #396955,,,"-$2,100.00","$36,663.00",1
02/28/2025,ACH to Johnson LLC [Ref:686315],,,-$750.00,"$4,477.00",0
11/08/2025,Rental payment [Trans:880424],,,"-$2,650.00","$42,865.00",0
07/27/2024,Building Management [ID:974777],,,"$2,800.00","$47,107.00",1
04/04/2024,Crib fee [Invoice:272975] [02:42],,,-$675.00,"$38,288.00",1
07/11/2025,Letting fee [TXN:352702],,,"$1,025.00","$37,510.00",1
04/05/2025,Additional to rent - fee [Date:20250405],,,-$850.00,"$18,723.00",0
12/11/2025,Standing order payment [Trans:626593],,,-$650.00,"$16,174.00",0
